ID,Title,Date,Precise Address
201,"Chain Collision (8 Dead, 14 Injured)","Nov 13, 2025","Navale Bridge, Pune-Bengaluru Highway, Pune, Maharashtra, India"
202,Muv Overboard (10 Women Killed),"Aug 11, 2025","Near Mahadev Kundeshwar Temple, Khed Tehsil, Pune, Maharashtra, India"
203,Pothole Fall & Fatal Run-over (61-yr-old),"Aug 01, 2025","Near MediPoint Hospital, Aundh, Pune, Maharashtra, India"
204,Truck Rams 25 Vehicles (1 Fatality),"Jul 26, 2025","Near Amrutanjan Bridge, Mumbai-Pune Expressway, Pune, Maharashtra, India"
205,Drunk Driver Rams Tea Stall (12 Injured),"Jun 01, 2025","Near Goodluck Chowk, FC Road, Pune, Maharashtra, India"
206,Hoarding Collapse on 7 Two-Wheelers,"May 20, 2025","Near RTO, Pune City, Pune, Maharashtra, India"
207,BMW Median Stall & Nuisance Arrest,"Mar 08, 2025","Tilak Road, Pune, Maharashtra, India"
208,Symbiosis Students Highway Crash (2 Dead),"Sep 18, 2025","Near Kiwale, Mumbai-Pune Highway, Pune, Maharashtra, India"
209,Diwali Hit-and-Run (Firecracker Case),"Nov 03, 2024","Mukai Chowk, Ravet, Pimpri-Chinchwad, Pune, Maharashtra, India"
210,Pedestrian Fatality (Hit by Tempo),"Feb 11, 2026","Khadi Machine Chowk, Kondhwa, Pune, Maharashtra, India"
211,Two-Wheeler Skids on Loose Gravel,"Feb 09, 2026","Sus-Pashan Link Road, Pune, Maharashtra, India"
212,Luxury Bus vs Dumper,"Feb 05, 2026","Near Katraj Tunnel, Satara Road, Pune, Maharashtra, India"
213,Motorcycle Head-on Collision,"Jan 28, 2026","Paud-Pirangut Road, Mulshi, Pune, Maharashtra, India"
214,Wrong Side Car Crash (Minor Injured),"Jan 20, 2026","Nashik Phata Flyover, Pimpri, Pune, Maharashtra, India"
215,Bicycle vs Cement Mixer,"Jan 12, 2026","Wagholi-Bakori Road, Pune, Maharashtra, India"
216,School Van Overturns (10 Children),"Dec 22, 2025","Near Blue Ridge, Hinjewadi Phase 1, Pune, Maharashtra, India"
217,Dumper Truck vs Female Commuter,"Dec 14, 2025","Vishrantwadi-Alandi Road, Pune, Maharashtra, India"
218,Car Plunges into Gorge,"Dec 05, 2025","Tamhini Ghat Section, Mulshi, Pune, Maharashtra, India"
219,Garbage Compactor Hit-and-Run,"Nov 25, 2025","Sinhagad Road near Pu La Deshpande Park, Pune, Maharashtra, India"
220,Tanker Brake Failure (Expressway),"Nov 18, 2025","Bhor Ghat, Mumbai-Pune Expressway, Pune, Maharashtra, India"
221,Night Bus Hits Divider,"Nov 10, 2025","Near Wakad Bridge, Mumbai-Bengaluru Highway, Pune, Maharashtra, India"
