title,date,location
Porsche High-Speed Collision (Killed 2 Techies),"May 19, 2024","Kalyani Nagar, Pune, Maharashtra, India"
"Container Truck Chain Collision (8 Dead, 14 Injured)","Nov 13, 2025","Navale Bridge, Katraj-Dehu Road Bypass, Pune, Maharashtra, India"
Speeding Car Metro Pillar Crash,"Nov 02, 2025","Bund Garden Metro Station, Pune, Maharashtra, India"
Shirur Family Car Mishap (3 Dead),"Feb 14, 2026","Nalge Vasti, Shirur-Nhavare Road, Pune, Maharashtra, India"
Police Aspirant Dumper Collision,"Feb 13, 2026","""14 Number"" Area, Narayangaon Highway, Pune, Maharashtra, India"
Wrong-Lane Car vs Motorcycle (Aakash Saykar Case),"Mar 04, 2020","Waghjai Temple, Mulkhed–Maan-Hinjewadi Road, Pune, Maharashtra, India"
Two-Wheeler Fatality (Shirley Anthony Case),"Feb 02, 2026","Bhaji Mandai Chowk, NDA Road, Uttamnagar, Pune, Maharashtra, India"
Propylene Tanker Overturn (Traffic Gridlock),"Feb 12, 2026","Near Adoshi Tunnel, Mumbai-Pune Expressway, Pune, Maharashtra, India"
Lonavala Trip Student Highway Crash (2 Dead),"Sep 18, 2025","Mumbai-Bengaluru Highway, Pune, Maharashtra, India"
Pick-up Van Falls in Hilly Terrain (8 Women Dead),"Aug 11, 2025","Near Pavana Dam, Maval, Pune, Maharashtra, India"
Pothole Fall & Fatal Run-over (61-yr-old man),"Aug 01, 2025","Aundh-Baner Road, Pune, Maharashtra, India"
Truck Rams 25 Vehicles (1 Woman Dead),"Jul 26, 2025","Amrutanjan Bridge, Mumbai-Pune Expressway, Pune, Maharashtra, India"
Drunk Driver Rams Tea Stall (12 Students Injured),"Jun 01, 2025","Ferguson College (FC) Road, Pune, Maharashtra, India"
Diwali Hit-and-Run (Man Bursting Crackers),"Nov 03, 2024","Ravet, Pimpri-Chinchwad, Pune, Maharashtra, India"
Audi Hit-and-Run (Food Delivery Boy Killed),"Oct 12, 2024","Mundhwa-Koregaon Park Road, Pune, Maharashtra, India"
Luxury Bus Hits Four Vehicles,"Feb 05, 2026","Pashan-Sus Road, Pune, Maharashtra, India"
Vehicle Runs Over CRPF Staffer,"Feb 10, 2026","Indapur High Street, Pune-Solapur Highway, Pune, Maharashtra, India"
Minitruck Helper Killed (Dumper Collision),"Jan 15, 2026","Katraj-Dehu Road Bypass, Pune, Maharashtra, India"
School Bus Turns on Side (15 Students Injured),"Jan 20, 2026","Junnar Taluka, near Shivneri Fort, Pune, Maharashtra, India"
SUV Overtake Kills Scooterist,"Jan 05, 2026","Hadapsar Flyover, Pune, Maharashtra, India"
Gas Tanker Overturn (32-Hour Jam),"Dec 28, 2025","Borghat Section, Mumbai-Pune Expressway, Pune, Maharashtra, India"
Hit-and-Run Near Saswad (4 Workers Dead),"Dec 15, 2025","Saswad-Jejuri Road, Pune, Maharashtra, India"
Car Goes Off Road Near Otur,"Dec 10, 2025","Kalyan-Ahmednagar Highway, Otur, Pune, Maharashtra, India"
PMPML Bus vs Pedestrian (Woman Run Over),"Feb 01, 2026","Vishrantwadi Chowk, Pune, Maharashtra, India"
Container Truck Crushes 12-year-old,"Dec 20, 2025","Dehu Road, Pimpri-Chinchwad, Pune, Maharashtra, India"
Private Jet Crash (Ajit Pawar Sabotage Angle),"Jan 28, 2026","Baramati Airstrip, Pune, Maharashtra, India"
Speeding Dumper vs Bike (Warje),"Nov 15, 2025","Warje Malwadi, Pune, Maharashtra, India"
Cement Mixer Truck Overturn,"Nov 20, 2025","Chandni Chowk, Pune, Maharashtra, India"
