ID,Title,Date,Precise Address
1,Porsche High-Speed Collision (Killed 2 Techies),"May 19, 2024","Kalyani Nagar, Pune, Maharashtra, India"
2,"Container Truck Chain Collision (8 Dead, 14 Injured)","Nov 13, 2025","Navale Bridge, Katraj-Dehu Road Bypass, Pune, Maharashtra, India"
3,Speeding Car Metro Pillar Crash,"Nov 02, 2025","Bund Garden Metro Station, Pune, Maharashtra, India"
4,Shirur Family Car Mishap (3 Dead),"Feb 14, 2026","Nalge Vasti, Shirur-Nhavare Road, Pune, Maharashtra, India"
5,Police Aspirant Dumper Collision,"Feb 13, 2026","""14 Number"" Area, Narayangaon Highway, Pune, Maharashtra, India"
6,Wrong-Lane Car vs Motorcycle (Aakash Saykar Case),"Mar 04, 2020","Waghjai Temple, Mulkhed–Maan-Hinjewadi Road, Pune, Maharashtra, India"
7,Two-Wheeler Fatality (Shirley Anthony Case),"Feb 02, 2026","Bhaji Mandai Chowk, NDA Road, Uttamnagar, Pune, Maharashtra, India"
8,Propylene Tanker Overturn (Traffic Gridlock),"Feb 12, 2026","Near Adoshi Tunnel, Mumbai-Pune Expressway, Pune, Maharashtra, India"
9,Lonavala Trip Student Highway Crash (2 Dead),"Sep 18, 2025","Mumbai-Bengaluru Highway, Pune, Maharashtra, India"
10,Pick-up Van Falls in Hilly Terrain (8 Women Dead),"Aug 11, 2025","Near Pavana Dam, Maval, Pune, Maharashtra, India"
11,Pothole Fall & Fatal Run-over (61-yr-old man),"Aug 01, 2025","Aundh-Baner Road, Pune, Maharashtra, India"
12,Truck Rams 25 Vehicles (1 Woman Dead),"Jul 26, 2025","Amrutanjan Bridge, Mumbai-Pune Expressway, Pune, Maharashtra, India"
13,Drunk Driver Rams Tea Stall (12 Students Injured),"Jun 01, 2025","Ferguson College (FC) Road, Pune, Maharashtra, India"
14,Diwali Hit-and-Run (Man Bursting Crackers),"Nov 03, 2024","Ravet, Pimpri-Chinchwad, Pune, Maharashtra, India"
15,Audi Hit-and-Run (Food Delivery Boy Killed),"Oct 12, 2024","Mundhwa-Koregaon Park Road, Pune, Maharashtra, India"
16,Luxury Bus Hits Four Vehicles,"Feb 05, 2026","Pashan-Sus Road, Pune, Maharashtra, India"
17,Vehicle Runs Over CRPF Staffer,"Feb 10, 2026","Indapur High Street, Pune-Solapur Highway, Pune, Maharashtra, India"
18,Minitruck Helper Killed (Dumper Collision),"Jan 15, 2026","Katraj-Dehu Road Bypass, Pune, Maharashtra, India"
