ID,Title,Date,Precise Address
51,Multi-vehicle Pileup (Foggy conditions),"Jan 05, 2026","Talegaon Dabhade, Pune, Maharashtra, India"
52,Tempo Traveller vs Container,"Dec 12, 2025","Kamshet, Old Mumbai-Pune Highway, Pune, Maharashtra, India"
53,Speeding Bike Median Crash,"Nov 28, 2025","Karve Road, Pune, Maharashtra, India"
54,School Van Collision,"Nov 18, 2025","Bibwewadi, Pune, Maharashtra, India"
55,Milk Tanker Overturn,"Oct 30, 2025","Shirur Highway, Pune, Maharashtra, India"
56,Car vs Pedestrian (Senior Citizen),"Oct 15, 2025","Model Colony, Pune, Maharashtra, India"
57,Luxury Car Hit-and-Run,"Sep 22, 2025","NIBM Road, Kondhwa, Pune, Maharashtra, India"
58,Bike vs PMPML Bus,"Sep 08, 2025","Shaniwar Peth, Pune, Maharashtra, India"
59,Gas Cylinder Truck Accident,"Aug 25, 2025","Chakan-Talegaon Road, Pune, Maharashtra, India"
60,Highway Highway Barrier Crash,"Aug 10, 2025","Kiwale, Mumbai-Pune Expressway, Pune, Maharashtra, India"
61,Two-Wheeler Pothole Fatality,"Jul 28, 2025","Keshav Nagar, Mundhwa, Pune, Maharashtra, India"
62,Car Overturn on Expressway,"Jul 12, 2025","Lonavala Exit, Pune, Maharashtra, India"
63,Truck vs Jeep (Fatal),"Jun 25, 2025","Shikrapur, Pune-Ahmednagar Road, Pune, Maharashtra, India"
64,Motorcycle vs Divider,"Jun 10, 2025","Satara Road, Katraj, Pune, Maharashtra, India"
65,Drunk Driver vs Biker,"May 25, 2025","Baner Road, Pune, Maharashtra, India"
66,Pedestrian Hit at Zebra Crossing,"May 12, 2025","Deccan Gymkhana, Pune, Maharashtra, India"
67,Speeding Bus vs Two-Wheeler,"Apr 28, 2025","Alandi Road, Pune, Maharashtra, India"
68,Container Truck Jackknife,"Apr 14, 2025","Navale Bridge, Pune, Maharashtra, India"
69,Car vs Auto Collision,"Mar 30, 2025","Fatima Nagar, Pune, Maharashtra, India"
70,Hit-and-Run (Morning Jogger),"Mar 12, 2025","Race Course Perimeter, Pune, Maharashtra, India"
71,Dumper vs Bicycle,"Feb 28, 2025","Phursungi, Pune, Maharashtra, India"
72,Highway Pileup (5 Cars),"Feb 15, 2025","Somatane Phata, Pune, Maharashtra, India"
73,Two-Wheeler Skid on Sand,"Jan 30, 2025","Balewadi High Street, Pune, Maharashtra, India"
74,Car Plunges into River,"Jan 15, 2025","Sangamwadi Bridge, Pune, Maharashtra, India"
75,Heavy Vehicle Brake Failure,"Dec 30, 2024","Khadi Machine Chowk, Pune, Maharashtra, India"
76,Night Bus Accident (Private),"Dec 20, 2024","Wakad Flyover, Pune, Maharashtra, India"
77,Speeding Car vs Garbage Compactor,"Dec 05, 2024","Sinhagad Road, Pune, Maharashtra, India"
78,Pedestrian Run Over by Tanker,"Nov 20, 2024","Moshi High Street, Pune, Maharashtra, India"
79,Bike vs Car (Head-on),"Nov 08, 2024","Pashan Road, Pune, Maharashtra, India"
80,Expressway Median Crash,"Oct 20, 2024","Khalapur Toll Naka, Pune side, Maharashtra, India"
81,Auto Rickshaw Hit by Truck,"Oct 05, 2024","Market Yard, Pune, Maharashtra, India"
82,Motorcycle Skid (Rainy conditions),"Sep 20, 2024","Law College Road, Pune, Maharashtra, India"
83,Car vs Truck (Rear-end),"Sep 05, 2024","Ravet, Pune, Maharashtra, India"
84,Pedestrian Fatality (Bhosari),"Aug 20, 2024","Pune-Nashik Road, Bhosari, Pune, Maharashtra, India"
85,Dumper vs Bike (Fatality),"Aug 05, 2024","Wagholi Chowk, Pune, Maharashtra, India"
86,Car hits Divider (Kharadi),"Jul 20, 2024","World Trade Center Road, Pune, Maharashtra, India"
87,Delivery Van vs Scooter,"Jul 05, 2024","Kothrud, Pune, Maharashtra, India"
88,Bus vs Two-Wheeler (Swargate),"Jun 20, 2024","Swargate Underpass, Pune, Maharashtra, India"
89,High Speed Crash (Yerawada),"Jun 05, 2024","Yerawada Bridge, Pune, Maharashtra, India"
90,Tanker vs Car (Loni Kalbhor),"May 25, 2024","Pune-Solapur Highway, Pune, Maharashtra, India"
91,Motorcycle vs Truck (Chakan),"May 10, 2024","Chakan MIDC, Pune, Maharashtra, India"
92,Car vs Pedestrian (Hinjewadi),"Apr 25, 2024","Phase 1 Chowk, Hinjewadi, Pune, Maharashtra, India"
93,Speeding Bike (Hadapsar),"Apr 10, 2024","Amanora Mall Frontage, Pune, Maharashtra, India"
94,Dumper Collision (Katraj),"Mar 25, 2024","Katraj Ghat, Pune, Maharashtra, India"
95,Auto Rickshaw Overturn (Pune Station),"Mar 10, 2024","Near Pune Railway Station, Pune, Maharashtra, India"
96,Car vs Divider (Baner),"Feb 25, 2024","Baner-Pashan Link Road, Pune, Maharashtra, India"
97,Bus Accident (Old Highway),"Feb 10, 2024","Dehu Road, Pune, Maharashtra, India"
98,Hit-and-Run (Kondhwa),"Jan 25, 2024","Jyoti Chowk, Kondhwa, Pune, Maharashtra, India"
99,Motorcycle vs Dumper (Pimpri),"Jan 10, 2024","Pimpri Chowk, Pune, Maharashtra, India"
100,Speeding Car (Sangvi),"Dec 30, 2023","Pimple Gurav Road, Pune, Maharashtra, India"
