title,date,location,year,month,season
Porsche High-Speed Collision (Killed 2 Techies),2024-05-19,"Kalyani Nagar, Pune, Maharashtra, India",2024,5,Summer
"Container Truck Chain Collision (8 Dead, 14 Injured)",2025-11-13,"Navale Bridge, Katraj-Dehu Road Bypass, Pune, Maharashtra, India",2025,11,Winter
Speeding Car Metro Pillar Crash,2025-11-02,"Bund Garden Metro Station, Pune, Maharashtra, India",2025,11,Winter
Shirur Family Car Mishap (3 Dead),2026-02-14,"Nalge Vasti, Shirur-Nhavare Road, Pune, Maharashtra, India",2026,2,Winter
Police Aspirant Dumper Collision,2026-02-13,"""14 Number"" Area, Narayangaon Highway, Pune, Maharashtra, India",2026,2,Winter
Wrong-Lane Car vs Motorcycle (Aakash Saykar Case),2020-03-04,"Waghjai Temple, Mulkhed–Maan-Hinjewadi Road, Pune, Maharashtra, India",2020,3,Summer
Two-Wheeler Fatality (Shirley Anthony Case),2026-02-02,"Bhaji Mandai Chowk, NDA Road, Uttamnagar, Pune, Maharashtra, India",2026,2,Winter
Propylene Tanker Overturn (Traffic Gridlock),2026-02-12,"Near Adoshi Tunnel, Mumbai-Pune Expressway, Pune, Maharashtra, India",2026,2,Winter
Lonavala Trip Student Highway Crash (2 Dead),2025-09-18,"Mumbai-Bengaluru Highway, Pune, Maharashtra, India",2025,9,Monsoon
Pick-up Van Falls in Hilly Terrain (8 Women Dead),2025-08-11,"Near Pavana Dam, Maval, Pune, Maharashtra, India",2025,8,Monsoon
Pothole Fall & Fatal Run-over (61-yr-old man),2025-08-01,"Aundh-Baner Road, Pune, Maharashtra, India",2025,8,Monsoon
Truck Rams 25 Vehicles (1 Woman Dead),2025-07-26,"Amrutanjan Bridge, Mumbai-Pune Expressway, Pune, Maharashtra, India",2025,7,Monsoon
Drunk Driver Rams Tea Stall (12 Students Injured),2025-06-01,"Ferguson College (FC) Road, Pune, Maharashtra, India",2025,6,Monsoon
Diwali Hit-and-Run (Man Bursting Crackers),2024-11-03,"Ravet, Pimpri-Chinchwad, Pune, Maharashtra, India",2024,11,Winter
Audi Hit-and-Run (Food Delivery Boy Killed),2024-10-12,"Mundhwa-Koregaon Park Road, Pune, Maharashtra, India",2024,10,Winter
Luxury Bus Hits Four Vehicles,2026-02-05,"Pashan-Sus Road, Pune, Maharashtra, India",2026,2,Winter
Vehicle Runs Over CRPF Staffer,2026-02-10,"Indapur High Street, Pune-Solapur Highway, Pune, Maharashtra, India",2026,2,Winter
Minitruck Helper Killed (Dumper Collision),2026-01-15,"Katraj-Dehu Road Bypass, Pune, Maharashtra, India",2026,1,Winter
School Bus Turns on Side (15 Students Injured),2026-01-20,"Junnar Taluka, near Shivneri Fort, Pune, Maharashtra, India",2026,1,Winter
SUV Overtake Kills Scooterist,2026-01-05,"Hadapsar Flyover, Pune, Maharashtra, India",2026,1,Winter
Gas Tanker Overturn (32-Hour Jam),2025-12-28,"Borghat Section, Mumbai-Pune Expressway, Pune, Maharashtra, India",2025,12,Winter
Hit-and-Run Near Saswad (4 Workers Dead),2025-12-15,"Saswad-Jejuri Road, Pune, Maharashtra, India",2025,12,Winter
Car Goes Off Road Near Otur,2025-12-10,"Kalyan-Ahmednagar Highway, Otur, Pune, Maharashtra, India",2025,12,Winter
PMPML Bus vs Pedestrian (Woman Run Over),2026-02-01,"Vishrantwadi Chowk, Pune, Maharashtra, India",2026,2,Winter
Container Truck Crushes 12-year-old,2025-12-20,"Dehu Road, Pimpri-Chinchwad, Pune, Maharashtra, India",2025,12,Winter
Private Jet Crash (Ajit Pawar Sabotage Angle),2026-01-28,"Baramati Airstrip, Pune, Maharashtra, India",2026,1,Winter
Speeding Dumper vs Bike (Warje),2025-11-15,"Warje Malwadi, Pune, Maharashtra, India",2025,11,Winter
Cement Mixer Truck Overturn,2025-11-20,"Chandni Chowk, Pune, Maharashtra, India",2025,11,Winter
Two-Wheeler Skid (Bad Patch),2025-10-05,"Kharadi-Mundhwa Bridge, Pune, Maharashtra, India",2025,10,Winter
Bus vs Auto Rickshaw (Fatality),2025-09-30,"Swargate Bus Stand Area, Pune, Maharashtra, India",2025,9,Monsoon
Speeding Car Median Collision,2025-09-15,"Viman Nagar, Pune, Maharashtra, India",2025,9,Monsoon
Truck Brake Failure (Navale Bridge),2025-08-20,"Katraj-Dehu Road Bypass, Pune, Maharashtra, India",2025,8,Monsoon
