title,date,location,year,month,season,lat,lon
Porsche High-Speed Collision (Killed 2 Techies),2024-05-19,"Kalyani Nagar, Pune, Maharashtra, India",2024,5,Summer,18.5462313,73.90395099999999
"Container Truck Chain Collision (8 Dead, 14 Injured)",2025-11-13,"Navale Bridge, Katraj-Dehu Road Bypass, Pune, Maharashtra, India",2025,11,Winter,18.45476,73.828041
Speeding Car Metro Pillar Crash,2025-11-02,"Bund Garden Metro Station, Pune, Maharashtra, India",2025,11,Winter,18.5401853,73.883181
Shirur Family Car Mishap (3 Dead),2026-02-14,"Nalge Vasti, Shirur-Nhavare Road, Pune, Maharashtra, India",2026,2,Winter,18.6627708,74.369084
Police Aspirant Dumper Collision,2026-02-13,"""14 Number"" Area, Narayangaon Highway, Pune, Maharashtra, India",2026,2,Winter,18.5246091,73.8786239
Wrong-Lane Car vs Motorcycle (Aakash Saykar Case),2020-03-04,"Waghjai Temple, Mulkhed–Maan-Hinjewadi Road, Pune, Maharashtra, India",2020,3,Summer,18.5909041,73.7507266
Two-Wheeler Fatality (Shirley Anthony Case),2026-02-02,"Bhaji Mandai Chowk, NDA Road, Uttamnagar, Pune, Maharashtra, India",2026,2,Winter,18.4735982,73.7932857
Propylene Tanker Overturn (Traffic Gridlock),2026-02-12,"Near Adoshi Tunnel, Mumbai-Pune Expressway, Pune, Maharashtra, India",2026,2,Winter,18.7693125,73.4043386
Lonavala Trip Student Highway Crash (2 Dead),2025-09-18,"Mumbai-Bengaluru Highway, Pune, Maharashtra, India",2025,9,Monsoon,18.5026575,73.7925641
Pick-up Van Falls in Hilly Terrain (8 Women Dead),2025-08-11,"Near Pavana Dam, Maval, Pune, Maharashtra, India",2025,8,Monsoon,18.6815532,73.4950678
Pothole Fall & Fatal Run-over (61-yr-old man),2025-08-01,"Aundh-Baner Road, Pune, Maharashtra, India",2025,8,Monsoon,18.5631374,73.8099917
Truck Rams 25 Vehicles (1 Woman Dead),2025-07-26,"Amrutanjan Bridge, Mumbai-Pune Expressway, Pune, Maharashtra, India",2025,7,Monsoon,18.7665756,73.3597925
Drunk Driver Rams Tea Stall (12 Students Injured),2025-06-01,"Ferguson College (FC) Road, Pune, Maharashtra, India",2025,6,Monsoon,18.5228446,73.83896779999999
Diwali Hit-and-Run (Man Bursting Crackers),2024-11-03,"Ravet, Pimpri-Chinchwad, Pune, Maharashtra, India",2024,11,Winter,18.6606495,73.73215850000001
Audi Hit-and-Run (Food Delivery Boy Killed),2024-10-12,"Mundhwa-Koregaon Park Road, Pune, Maharashtra, India",2024,10,Winter,18.5343675,73.8856909
Luxury Bus Hits Four Vehicles,2026-02-05,"Pashan-Sus Road, Pune, Maharashtra, India",2026,2,Winter,18.5454191,73.7777885
Vehicle Runs Over CRPF Staffer,2026-02-10,"Indapur High Street, Pune-Solapur Highway, Pune, Maharashtra, India",2026,2,Winter,18.5032043,73.9243079
Minitruck Helper Killed (Dumper Collision),2026-01-15,"Katraj-Dehu Road Bypass, Pune, Maharashtra, India",2026,1,Winter,18.5057992,73.7920547
School Bus Turns on Side (15 Students Injured),2026-01-20,"Junnar Taluka, near Shivneri Fort, Pune, Maharashtra, India",2026,1,Winter,19.2047767,73.8731689
SUV Overtake Kills Scooterist,2026-01-05,"Hadapsar Flyover, Pune, Maharashtra, India",2026,1,Winter,18.5007158,73.93931359999999
Gas Tanker Overturn (32-Hour Jam),2025-12-28,"Borghat Section, Mumbai-Pune Expressway, Pune, Maharashtra, India",2025,12,Winter,18.7693125,73.4043386
Hit-and-Run Near Saswad (4 Workers Dead),2025-12-15,"Saswad-Jejuri Road, Pune, Maharashtra, India",2025,12,Winter,18.4842269,73.95366
Car Goes Off Road Near Otur,2025-12-10,"Kalyan-Ahmednagar Highway, Otur, Pune, Maharashtra, India",2025,12,Winter,18.5621306,73.923209
PMPML Bus vs Pedestrian (Woman Run Over),2026-02-01,"Vishrantwadi Chowk, Pune, Maharashtra, India",2026,2,Winter,18.5723961,73.8786076
Container Truck Crushes 12-year-old,2025-12-20,"Dehu Road, Pimpri-Chinchwad, Pune, Maharashtra, India",2025,12,Winter,18.6860277,73.74771419999999
Private Jet Crash (Ajit Pawar Sabotage Angle),2026-01-28,"Baramati Airstrip, Pune, Maharashtra, India",2026,1,Winter,18.1791791,74.6077971
Speeding Dumper vs Bike (Warje),2025-11-15,"Warje Malwadi, Pune, Maharashtra, India",2025,11,Winter,18.4755101,73.8034283
Cement Mixer Truck Overturn,2025-11-20,"Chandni Chowk, Pune, Maharashtra, India",2025,11,Winter,18.506527,73.7794093
Two-Wheeler Skid (Bad Patch),2025-10-05,"Kharadi-Mundhwa Bridge, Pune, Maharashtra, India",2025,10,Winter,18.5363161,73.9339958
Bus vs Auto Rickshaw (Fatality),2025-09-30,"Swargate Bus Stand Area, Pune, Maharashtra, India",2025,9,Monsoon,18.500148,73.858616
Speeding Car Median Collision,2025-09-15,"Viman Nagar, Pune, Maharashtra, India",2025,9,Monsoon,18.5678553,73.9143637
Truck Brake Failure (Navale Bridge),2025-08-20,"Katraj-Dehu Road Bypass, Pune, Maharashtra, India",2025,8,Monsoon,18.5057992,73.7920547
Wrong Side Bike Crash,2025-07-15,"Wagholi, Pune-Ahmednagar Road, Pune, Maharashtra, India",2025,7,Monsoon,18.5621306,73.923209
Pothole-related Scooter Accident,2025-07-05,"Yerawada, near Golf Course, Pune, Maharashtra, India",2025,7,Monsoon,18.5529226,73.879711
Garbage Van vs Motorcycle,2025-06-20,"Dhanori-Lohegaon Road, Pune, Maharashtra, India",2025,6,Monsoon,18.5968555,73.8993441
High-Speed Sedan Crash,2025-05-30,"Senapati Bapat Road, Pune, Maharashtra, India",2025,5,Summer,18.5304378,73.8299152
Heavy Vehicle Entry Violation (Collision),2025-05-10,"Baner-Balewadi Phata, Pune, Maharashtra, India",2025,5,Summer,18.5646935,73.7839334
Inter-City Bus Collision,2025-04-15,"Pune-Nashik Highway, Bhosari, Pune, Maharashtra, India",2025,4,Summer,18.6325975,73.8499557
Drunk Driver vs Police Barrier,2025-04-01,"Koregaon Park Lane 7, Pune, Maharashtra, India",2025,4,Summer,18.4672752,73.9183382
Pedestrian Fatality (Hit by Tempo),2025-03-15,"Shivajinagar Court Road, Pune, Maharashtra, India",2025,3,Summer,18.5281447,73.8548861
Container vs Car (Expressway),2025-03-05,"Urse Toll Naka, Mumbai-Pune Expressway, Pune, Maharashtra, India",2025,3,Summer,18.7693125,73.4043386
Bike Skid on Oil Spill,2025-02-20,"Magarpatta City North Gate, Pune, Maharashtra, India",2025,2,Winter,18.5158057,73.9271644
Auto Rickshaw Overturn,2025-02-05,"Station Road, Pune, Maharashtra, India",2025,2,Winter,18.5239689,73.8702973
Speeding SUV vs Electric Pole,2025-01-25,"Pimple Saudagar, Pune, Maharashtra, India",2025,1,Winter,18.5986763,73.79783479999999
Morning Walker Hit-and-Run,2025-01-10,"University Road, Pune, Maharashtra, India",2025,1,Winter,18.5330098,73.8416287
Tractor vs Motorcycle (Rural),2024-12-25,"Paud Road, Mulshi, Pune, Maharashtra, India",2024,12,Winter,18.5073253,73.7882575
Nighttime Collision (Drunken Driving),2024-12-15,"Camp Area (MG Road), Pune, Maharashtra, India",2024,12,Winter,18.5144844,73.8789049
Two-Wheeler Under Truck Wheels,2024-11-25,"Akurdi, Pimpri-Chinchwad, Pune, Maharashtra, India",2024,11,Winter,18.6498669,73.7808704
Car Plunges into Canal,2024-11-10,"Hadapsar-Saswad Canal Road, Pune, Maharashtra, India",2024,11,Winter,18.4982693,73.9443823
Heavy Dumper vs Office Commuter,2024-10-25,"Hinjewadi Phase 3, Pune, Maharashtra, India",2024,10,Winter,18.5868397,73.68599499999999
Multi-vehicle Pileup (Foggy conditions),2026-01-05,"Talegaon Dabhade, Pune, Maharashtra, India",2026,1,Winter,18.7375763,73.67466259999999
Tempo Traveller vs Container,2025-12-12,"Kamshet, Old Mumbai-Pune Highway, Pune, Maharashtra, India",2025,12,Winter,18.5523134,73.8494254
Speeding Bike Median Crash,2025-11-28,"Karve Road, Pune, Maharashtra, India",2025,11,Winter,18.5032615,73.8198444
School Van Collision,2025-11-18,"Bibwewadi, Pune, Maharashtra, India",2025,11,Winter,18.4690213,73.8640944
Milk Tanker Overturn,2025-10-30,"Shirur Highway, Pune, Maharashtra, India",2025,10,Winter,18.2396202,74.2943922
Car vs Pedestrian (Senior Citizen),2025-10-15,"Model Colony, Pune, Maharashtra, India",2025,10,Winter,18.5324846,73.8374954
Luxury Car Hit-and-Run,2025-09-22,"NIBM Road, Kondhwa, Pune, Maharashtra, India",2025,9,Monsoon,18.4764259,73.8966992
Bike vs PMPML Bus,2025-09-08,"Shaniwar Peth, Pune, Maharashtra, India",2025,9,Monsoon,18.5194431,73.85193559999999
Gas Cylinder Truck Accident,2025-08-25,"Chakan-Talegaon Road, Pune, Maharashtra, India",2025,8,Monsoon,18.7386836,73.7529882
Highway Highway Barrier Crash,2025-08-10,"Kiwale, Mumbai-Pune Expressway, Pune, Maharashtra, India",2025,8,Monsoon,18.6531746,73.731972
Two-Wheeler Pothole Fatality,2025-07-28,"Keshav Nagar, Mundhwa, Pune, Maharashtra, India",2025,7,Monsoon,18.5330323,73.933003
Car Overturn on Expressway,2025-07-12,"Lonavala Exit, Pune, Maharashtra, India",2025,7,Monsoon,18.5246091,73.8786239
Truck vs Jeep (Fatal),2025-06-25,"Shikrapur, Pune-Ahmednagar Road, Pune, Maharashtra, India",2025,6,Monsoon,18.5621306,73.923209
Motorcycle vs Divider,2025-06-10,"Satara Road, Katraj, Pune, Maharashtra, India",2025,6,Monsoon,18.4571056,73.8585297
Drunk Driver vs Biker,2025-05-25,"Baner Road, Pune, Maharashtra, India",2025,5,Summer,18.5579383,73.7929099
Pedestrian Hit at Zebra Crossing,2025-05-12,"Deccan Gymkhana, Pune, Maharashtra, India",2025,5,Summer,18.5165436,73.8366021
Speeding Bus vs Two-Wheeler,2025-04-28,"Alandi Road, Pune, Maharashtra, India",2025,4,Summer,18.5754692,73.8766477
Container Truck Jackknife,2025-04-14,"Navale Bridge, Pune, Maharashtra, India",2025,4,Summer,18.459773,73.8236242
Car vs Auto Collision,2025-03-30,"Fatima Nagar, Pune, Maharashtra, India",2025,3,Summer,18.5042104,73.90144389999999
Hit-and-Run (Morning Jogger),2025-03-12,"Race Course Perimeter, Pune, Maharashtra, India",2025,3,Summer,18.5246091,73.8786239
Dumper vs Bicycle,2025-02-28,"Phursungi, Pune, Maharashtra, India",2025,2,Winter,18.4726725,73.9784573
Highway Pileup (5 Cars),2025-02-15,"Somatane Phata, Pune, Maharashtra, India",2025,2,Winter,18.7067306,73.69040919999999
Two-Wheeler Skid on Sand,2025-01-30,"Balewadi High Street, Pune, Maharashtra, India",2025,1,Winter,18.5686574,73.7752909
Car Plunges into River,2025-01-15,"Sangamwadi Bridge, Pune, Maharashtra, India",2025,1,Winter,18.5327338,73.8562782
Heavy Vehicle Brake Failure,2024-12-30,"Khadi Machine Chowk, Pune, Maharashtra, India",2024,12,Winter,18.447036,73.891094
Night Bus Accident (Private),2024-12-20,"Wakad Flyover, Pune, Maharashtra, India",2024,12,Winter,18.592042,73.757722
Speeding Car vs Garbage Compactor,2024-12-05,"Sinhagad Road, Pune, Maharashtra, India",2024,12,Winter,18.4676915,73.818635
Pedestrian Run Over by Tanker,2024-11-20,"Moshi High Street, Pune, Maharashtra, India",2024,11,Winter,18.6630139,73.8362408
Bike vs Car (Head-on),2024-11-08,"Pashan Road, Pune, Maharashtra, India",2024,11,Winter,18.5397263,73.8132075
Expressway Median Crash,2024-10-20,"Khalapur Toll Naka, Pune side, Maharashtra, India",2024,10,Winter,18.467954,73.961248
Auto Rickshaw Hit by Truck,2024-10-05,"Market Yard, Pune, Maharashtra, India",2024,10,Winter,18.4876541,73.86836970000002
Motorcycle Skid (Rainy conditions),2024-09-20,"Law College Road, Pune, Maharashtra, India",2024,9,Monsoon,18.5142526,73.8287151
Car vs Truck (Rear-end),2024-09-05,"Ravet, Pune, Maharashtra, India",2024,9,Monsoon,18.6606495,73.73215850000001
Pedestrian Fatality (Bhosari),2024-08-20,"Pune-Nashik Road, Bhosari, Pune, Maharashtra, India",2024,8,Monsoon,18.6182375,73.8368617
Dumper vs Bike (Fatality),2024-08-05,"Wagholi Chowk, Pune, Maharashtra, India",2024,8,Monsoon,18.5829876,73.97940899999999
Car hits Divider (Kharadi),2024-07-20,"World Trade Center Road, Pune, Maharashtra, India",2024,7,Monsoon,18.5526296,73.9485287
Delivery Van vs Scooter,2024-07-05,"Kothrud, Pune, Maharashtra, India",2024,7,Monsoon,18.5073514,73.8076543
Bus vs Two-Wheeler (Swargate),2024-06-20,"Swargate Underpass, Pune, Maharashtra, India",2024,6,Monsoon,18.523999,73.94205199999999
High Speed Crash (Yerawada),2024-06-05,"Yerawada Bridge, Pune, Maharashtra, India",2024,6,Monsoon,18.5433215,73.8849071
Tanker vs Car (Loni Kalbhor),2024-05-25,"Pune-Solapur Highway, Pune, Maharashtra, India",2024,5,Summer,18.5032043,73.9243079
Motorcycle vs Truck (Chakan),2024-05-10,"Chakan MIDC, Pune, Maharashtra, India",2024,5,Summer,18.5204303,73.8567437
Car vs Pedestrian (Hinjewadi),2024-04-25,"Phase 1 Chowk, Hinjewadi, Pune, Maharashtra, India",2024,4,Summer,18.588307,73.7374885
Speeding Bike (Hadapsar),2024-04-10,"Amanora Mall Frontage, Pune, Maharashtra, India",2024,4,Summer,18.518534,73.9350918
Dumper Collision (Katraj),2024-03-25,"Katraj Ghat, Pune, Maharashtra, India",2024,3,Summer,18.4216354,73.8601013
Auto Rickshaw Overturn (Pune Station),2024-03-10,"Near Pune Railway Station, Pune, Maharashtra, India",2024,3,Summer,18.5212669,73.8689313
Car vs Divider (Baner),2024-02-25,"Baner-Pashan Link Road, Pune, Maharashtra, India",2024,2,Winter,18.5491621,73.7912816
Bus Accident (Old Highway),2024-02-10,"Dehu Road, Pune, Maharashtra, India",2024,2,Winter,18.6860277,73.74771419999999
Hit-and-Run (Kondhwa),2024-01-25,"Jyoti Chowk, Kondhwa, Pune, Maharashtra, India",2024,1,Winter,18.4748584,73.88527909999999
Motorcycle vs Dumper (Pimpri),2024-01-10,"Pimpri Chowk, Pune, Maharashtra, India",2024,1,Winter,18.514002,73.8678779
Speeding Car (Sangvi),2023-12-30,"Pimple Gurav Road, Pune, Maharashtra, India",2023,12,Winter,18.5941065,73.8194144
Jejuri-Morgaon High-Speed Crash (9 Dead),2025-06-18,"Shriram Dhaba, Jejuri-Morgaon Road, Pune, Maharashtra, India",2025,6,Monsoon,18.5915666,73.74038759999999
Navale Bridge Chain Collision (8 Dead),2025-11-13,"Navale Bridge, Pune-Bengaluru Highway, Pune, Maharashtra, India",2025,11,Winter,18.4506188,73.8609982
Khed Tehsil Van Plunge (10 Dead),2025-08-11,"Near Mahadev Kundeshwar Temple, Khed, Pune, Maharashtra, India",2025,8,Monsoon,18.9101844,73.7151004
Indrayani River Bridge Collapse Crash,2025-06-15,"Indrayani River Bridge, near Chikhali, Pune, Maharashtra, India",2025,6,Monsoon,18.6856266,73.8191946
Aundh Pothole Fatality (61-yr-old),2025-08-01,"Near Medipoint Hospital, Aundh, Pune, Maharashtra, India",2025,8,Monsoon,18.5650206,73.80242679999999
Mukai Chowk Diwali Hit-and-Run,2024-11-03,"Mukai Chowk, Ravet, Pimpri-Chinchwad, Pune, Maharashtra, India",2024,11,Winter,18.6606495,73.73215850000001
Hinjewadi IT Professional Bike Slip,2025-08-25,"Bhumkar Chowk, Wakad-Hinjewadi Road, Pune, Maharashtra, India",2025,8,Monsoon,18.5920977,73.7552922
Handewadi Truck-Biker Double Fatality,2025-09-02,"Handewadi Road, Hadapsar, Pune, Maharashtra, India",2025,9,Monsoon,18.4805166,73.931239
Kharadi Nagar Highway Dumper Hit,2025-08-10,"Near Kharadi IT Park, Nagar Highway, Pune, Maharashtra, India",2025,8,Monsoon,18.5512362,73.95073339999999
Hinjewadi Phase II Scooter Fatality,2025-08-12,"Phase II Road, Hinjewadi, Pune, Maharashtra, India",2025,8,Monsoon,18.5961305,73.7154018
Uttamnagar Two-Wheeler Skid,2026-01-30,"Bhaji Mandai Chowk, NDA Road, Pune, Maharashtra, India",2026,1,Winter,18.4735982,73.7932857
Wagholi Drunk School Bus Crash,2026-02-12,"Bakori Road, Wagholi, Pune, Maharashtra, India",2026,2,Winter,18.5936066,74.0129981
Learjet Runway Edge Crash (Ajit Pawar),2026-01-28,"Baramati Airfield Perimeter, Pune, Maharashtra, India",2026,1,Winter,18.225071,74.58954179999999
Mulkshed-Maan Wrong Lane Entry,2020-03-04,"Near Waghjai Temple, Hinjewadi Road, Pune, Maharashtra, India",2020,3,Summer,18.5909041,73.7507266
