ID,Title,Date,Precise Address
401,Jejuri-Morgaon High-Speed Crash (9 Dead),"Jun 18, 2025","Shriram Dhaba, Jejuri-Morgaon Road, Pune, Maharashtra, India"
402,Navale Bridge Chain Collision (8 Dead),"Nov 13, 2025","Navale Bridge, Pune-Bengaluru Highway, Pune, Maharashtra, India"
403,Khed Tehsil Van Plunge (10 Dead),"Aug 11, 2025","Near Mahadev Kundeshwar Temple, Khed, Pune, Maharashtra, India"
404,Indrayani River Bridge Collapse Crash,"Jun 15, 2025","Indrayani River Bridge, near Chikhali, Pune, Maharashtra, India"
405,Aundh Pothole Fatality (61-yr-old),"Aug 01, 2025","Near Medipoint Hospital, Aundh, Pune, Maharashtra, India"
406,Mukai Chowk Diwali Hit-and-Run,"Nov 03, 2024","Mukai Chowk, Ravet, Pimpri-Chinchwad, Pune, Maharashtra, India"
407,Hinjewadi IT Professional Bike Slip,"Aug 25, 2025","Bhumkar Chowk, Wakad-Hinjewadi Road, Pune, Maharashtra, India"
408,Handewadi Truck-Biker Double Fatality,"Sep 02, 2025","Handewadi Road, Hadapsar, Pune, Maharashtra, India"
409,Kharadi Nagar Highway Dumper Hit,"Aug 10, 2025","Near Kharadi IT Park, Nagar Highway, Pune, Maharashtra, India"
410,Hinjewadi Phase II Scooter Fatality,"Aug 12, 2025","Phase II Road, Hinjewadi, Pune, Maharashtra, India"
411,Uttamnagar Two-Wheeler Skid,"Jan 30, 2026","Bhaji Mandai Chowk, NDA Road, Pune, Maharashtra, India"
412,Wagholi Drunk School Bus Crash,"Feb 12, 2026","Bakori Road, Wagholi, Pune, Maharashtra, India"
413,Learjet Runway Edge Crash (Ajit Pawar),"Jan 28, 2026","Baramati Airfield Perimeter, Pune, Maharashtra, India"
414,Mulkshed-Maan Wrong Lane Entry,"Mar 04, 2020","Near Waghjai Temple, Hinjewadi Road, Pune, Maharashtra, India"
415,Bavdhan Flyover Sedan Barrier Hit,"Oct 25, 2024","Mumbai-Bengaluru Highway, Bavdhan, Pune, Maharashtra, India"
416,Pimpri Grade Separator Truck-Bike,"Dec 30, 2023","Grade Separator, Pimpri, Pune, Maharashtra, India"
417,Katraj-Kondhwa Road Bus Median Hit,"Jul 12, 2023","Near Tilekar Nagar, Kondhwa, Pune, Maharashtra, India"
418,Lonavala Exit Private Bus Overturn,"Aug 28, 2024","Mumbai-Pune Expressway, Lonavala, Pune, Maharashtra, India"
419,Shaniwar Wada PMPML Brake Failure,"Jun 02, 2023","Shivaji Road, Shaniwar Wada, Pune, Maharashtra, India"
