ID,Title,Date,Precise Address
301,Dumper vs IT Engineer (Fatal),"Sep 24, 2024","Viman Nagar Chowk, Nagar Road, Pune, Maharashtra, India"
302,Speeding Biker BRT Railing Collision,"Nov 08, 2025","Mankar Chowk, Wakad BRT Lane, Pune, Maharashtra, India"
303,Truck Hits Walk-over Bridge Pillar,"Mar 15, 2023","Wadgaon Sheri, Nagar Road, Pune, Maharashtra, India"
304,PMPML Bus vs Senior Citizen,"Feb 02, 2026","Near Bremen Chowk, Aundh Road, Pune, Maharashtra, India"
305,Double Sister Fatality (Truck Hit),"Jan 14, 2026","Talawade-Triveni Nagar Chowk, Pimpri-Chinchwad, Pune, Maharashtra, India"
306,Auto Rickshaw vs Drunk Driver SUV,"Dec 30, 2025","Near Jyoti Chowk, Kondhwa, Pune, Maharashtra, India"
307,Expressway Multi-Car Pileup,"Dec 24, 2025","Near Adoshi Tunnel, Mumbai-Pune Expressway, Pune, Maharashtra, India"
308,Cement Mixer vs Bicycle (Student),"Jan 12, 2026","Bakori Road, Wagholi, Pune, Maharashtra, India"
309,Two-Wheeler Slip (Shirley Anthony Case),"Jan 24, 2026","Bhaji Mandai Chowk, NDA Road, Pune, Maharashtra, India"
310,Speeding Sedan Median Crash,"Feb 10, 2026","Pashan-Sus Link Road, Pune, Maharashtra, India"
311,Container Brake Failure (Navale Bridge),"Nov 13, 2025","Katraj-Dehu Road Bypass, Pune, Maharashtra, India"
312,Luxury Bus vs Dumper (Katraj),"Feb 05, 2026","Near Katraj Tunnel, Satara Road, Pune, Maharashtra, India"
313,Motorcycle Head-on Collision,"Jan 28, 2026","Paud-Pirangut Road, Mulshi, Pune, Maharashtra, India"
314,Wrong Side Car Crash,"Jan 20, 2026","Nashik Phata Flyover, Pimpri, Pune, Maharashtra, India"
315,School Van Overturns,"Dec 22, 2025","Near Blue Ridge, Hinjewadi Phase 1, Pune, Maharashtra, India"
316,Dumper Truck vs Female Commuter,"Dec 14, 2025","Vishrantwadi-Alandi Road, Pune, Maharashtra, India"
317,Car Plunges into Gorge (Tamhini),"Dec 05, 2025","Tamhini Ghat Section, Mulshi, Pune, Maharashtra, India"
318,Garbage Compactor Hit-and-Run,"Nov 25, 2025","Sinhagad Road, near Pu La Deshpande Park, Pune, Maharashtra, India"
319,Tanker Brake Failure (Expressway),"Nov 18, 2025","Bhor Ghat, Mumbai-Pune Expressway, Pune, Maharashtra, India"
320,Night Bus Hits Divider (Wakad),"Nov 10, 2025","Near Wakad Bridge, Highway, Pune, Maharashtra, India"
321,Auto Rickshaw vs SUV (Station),"Nov 02, 2025","Pune Railway Station South Gate, Pune, Maharashtra, India"
322,Two-Wheeler Fatality (No Helmet),"Oct 20, 2025","Bibwewadi-Kondhwa Road, Pune, Maharashtra, India"
323,Car Hits Pedestrian (University),"Oct 12, 2025","University Chowk, Ganeshkhind Road, Pune, Maharashtra, India"
324,Multi-Vehicle Pileup (Rain),"Sep 30, 2025","Near Urse Toll Naka, Expressway, Pune, Maharashtra, India"
325,Speeding Bike vs Median (Kharadi),"Sep 15, 2025","Kharadi-Mundhwa Bridge, Pune, Maharashtra, India"
326,Truck vs Car (Somatane),"Sep 01, 2025","Near Somatane Phata, Old Highway, Pune, Maharashtra, India"
327,Pedestrian Fatality (Akurdi),"Aug 22, 2025","Near Akurdi Railway Station, Pune, Maharashtra, India"
328,Scooter vs PMPML Bus (Old City),"Aug 10, 2025","Near Shaniwar Wada, Pune, Maharashtra, India"
329,Car vs Electric Pole (Balewadi),"Jul 28, 2025","Balewadi High Street, Pune, Maharashtra, India"
330,Delivery Executive Fatality (Viman Nagar),"Jul 15, 2025","Near Symbiosis Law School, Pune, Maharashtra, India"
331,Hit-and-Run (Night Patrol Victim),"Jun 30, 2025","Baner-Pashan Link Road, Pune, Maharashtra, India"
332,Heavy Vehicle Peak Hour Crash,"Jun 18, 2025","Chandni Chowk, Pune, Maharashtra, India"
333,Two-Wheeler Skid on Oil Spill,"Jun 05, 2025","Magarpatta City Main Road, Pune, Maharashtra, India"
334,MSRTC Bus vs Private Car (Hadapsar),"May 25, 2025","Pune-Solapur Highway, Pune, Maharashtra, India"
335,Speeding Sedan Median Crash,"May 12, 2025","Karve Road, near Deccan, Pune, Maharashtra, India"
336,Dumper Truck vs Cyclist (Chakan),"May 01, 2025","Chakan-Ambethan Road, Pune, Maharashtra, India"
337,SUV vs Auto Rickshaw (Swargate),"Apr 20, 2025","Swargate Underpass, Pune, Maharashtra, India"
338,Motorcycle vs Divider (Model Colony),"Apr 05, 2025","Near Deep Bungalow Chowk, Pune, Maharashtra, India"
339,Truck Overturn (Ambegaon),"Mar 25, 2025","Near Ambegaon, Bypass Highway, Pune, Maharashtra, India"
340,Pedestrian Hit (Elderly Woman),"Mar 12, 2025","JM Road near Bal Gandharva, Pune, Maharashtra, India"
341,Car Plunges into Canal (Lonikand),"Mar 02, 2025","Lonikand-Shikrapur Road, Pune, Maharashtra, India"
342,Two-Wheeler Run Over by Tanker,"Feb 20, 2025","Moshi High Street, Pune, Maharashtra, India"
343,Hit-and-Run (Morning Walker),"Feb 05, 2025","Koregaon Park Lane 1, Pune, Maharashtra, India"
344,Highway Barrier Crash (Khalapur),"Jan 25, 2025","Khalapur Section (Pune side), Maharashtra, India"
345,Wrong Side Bike Collision (Hinjewadi),"Jan 10, 2025","Hinjewadi Phase 3 Road, Pune, Maharashtra, India"
346,Drunk Driving Fatality (Camp),"Dec 28, 2024","Near West End Cinema, Camp, Pune, Maharashtra, India"
347,Truck vs Jeep (Rural),"Dec 15, 2024","Saswad-Jejuri Road, Pune, Maharashtra, India"
348,Bus vs Scooterist (Sangamwadi),"Dec 01, 2024","Sangamwadi Bridge, Pune, Maharashtra, India"
349,Multi-Car Pileup (Fog),"Nov 20, 2024","Talegaon Dabhade, Expressway, Pune, Maharashtra, India"
350,Auto Rickshaw Overturn (Market Yard),"Nov 08, 2024","Market Yard Chowk, Pune, Maharashtra, India"
351,Speeding Car Hits Barrier (Bavdhan),"Oct 25, 2024","Bavdhan Flyover, Pune, Maharashtra, India"
352,Motorcycle vs Divider (Vanaz),"Oct 10, 2024","Near Vanaz Metro, Kothrud, Pune, Maharashtra, India"
353,Luxury Bus Brake Failure (Katraj),"Sep 25, 2024","Katraj Ghat Section, Pune, Maharashtra, India"
354,Pedestrian Fatality (Nashik Highway),"Sep 12, 2024","Pune-Nashik Highway, Bhosari, Pune, Maharashtra, India"
355,Car vs Truck (Lonavala Exit),"Aug 28, 2024","Near Lonavala Exit, Pune, Maharashtra, India"
356,Two-Wheeler Fatality (Nagar Road),"Aug 15, 2024","Near Ivy Estate, Wagholi, Pune, Maharashtra, India"
357,Hit-and-Run (Delivery Boy),"Aug 01, 2024","Mundhwa-Kharadi Road, Pune, Maharashtra, India"
358,Bus vs Two-Wheeler (Swargate),"Jul 18, 2024","Jedhe Chowk, Swargate, Pune, Maharashtra, India"
359,Speeding Sedan Median Crash,"Jul 05, 2024","Near Phoenix Mall, Viman Nagar, Pune, Maharashtra, India"
360,Motorcycle vs Divider (Baner),"Jun 20, 2024","Baner-Balewadi Road, Pune, Maharashtra, India"
361,Truck vs Car (Shikrapur),"Jun 05, 2024","Pune-Ahmednagar Highway, Pune, Maharashtra, India"
362,Two-Wheeler Pothole Fall,"May 25, 2024","Near Golf Course, Yerawada, Pune, Maharashtra, India"
363,Speeding Car (Station Area),"May 10, 2024","Near Pune Railway Station, Pune, Maharashtra, India"
364,Bus Accident (Dehu Road),"Apr 25, 2024","Dehu Road Cantonment, Pune, Maharashtra, India"
365,Hit-and-Run (Jyoti Chowk),"Apr 10, 2024","Kondhwa, Pune, Maharashtra, India"
366,Motorcycle vs Dumper (Pimpri),"Mar 25, 2024","Pimpri Grade Separator, Pune, Maharashtra, India"
367,Car Median Collision (Baner Link),"Mar 10, 2024","Baner-Pashan Link Road, Pune, Maharashtra, India"
368,Truck vs Jeep (Mulshi),"Feb 25, 2024","Pune-Paud Road, Mulshi, Pune, Maharashtra, India"
369,Two-Wheeler Under Truck (Hadapsar),"Feb 10, 2024","Hadapsar Flyover, Pune, Maharashtra, India"
370,Hit-and-Run (Raj Bhavan),"Jan 25, 2024","University Road, Pune, Maharashtra, India"
371,Car vs Electric Pole (Datta Mandir),"Jan 10, 2024","Viman Nagar, Pune, Maharashtra, India"
372,Bus Overturn (Varandha Ghat),"Dec 28, 2023","Bhor, Pune, Maharashtra, India"
373,Bike vs Pedestrian (JM Road),"Dec 15, 2023","Shivajinagar, Pune, Maharashtra, India"
374,Tanker vs Auto (Loni Kalbhor),"Dec 01, 2023","Pune-Solapur Road, Pune, Maharashtra, India"
375,Motorcycle Skid on Sand,"Nov 18, 2023","Wakad-Hinjewadi Road, Pune, Maharashtra, India"
376,Car Plunges into Gutter,"Nov 05, 2023","Dhanori-Lohegaon Road, Pune, Maharashtra, India"
377,Truck vs Car (Urse Toll),"Oct 25, 2023","Mumbai-Pune Expressway, Pune, Maharashtra, India"
378,Two-Wheeler Hit-and-Run (Kothrud),"Oct 12, 2023","Chandni Chowk, Pune, Maharashtra, India"
379,School Bus Median Crash,"Sep 28, 2023","Kondhwa-Katraj Road, Pune, Maharashtra, India"
380,Motorcycle vs Dumper (Bakori),"Sep 15, 2023","Wagholi, Pune, Maharashtra, India"
381,Car Hits Divider (Phase 2),"Sep 02, 2023","Hinjewadi, Pune, Maharashtra, India"
382,PMPML Bus Brake Failure (Wada),"Aug 20, 2023","Shaniwar Wada Frontage, Pune, Maharashtra, India"
383,Truck Overturn (Khed Shivapur),"Aug 05, 2023","Pune-Satara Road, Pune, Maharashtra, India"
384,Two-Wheeler Fatality (Akurdi),"Jul 22, 2023","Khandoba Mal, Pune, Maharashtra, India"
385,Speeding Sedan vs Auto,"Jul 10, 2023","Fatima Nagar Chowk, Pune, Maharashtra, India"
